Isolate,Location,Area,Country,Country_code,Type of site,Source,Host,MT
294-VN555-N-Vietnam,"Ba-Vi National Park, site 17",Northern ,Vietnam,VNM,Forest,,Magnolia annamensis,
295-VN512-N-Vietnam,"Ba-Vi National Park, site 17",Northern ,Vietnam,VNM,Forest,,"Vernicia montana (Euphorbiaceae), Antidesma sp.",
296-VN510-N-Vietnam,"Ba-Vi National Park, site 17",Northern ,Vietnam,VNM,Forest,,Castanopsis chinensis,
297-VN582-N-Vietnam,"Ba-Vi National Park, site 18",Northern ,Vietnam,VNM,Forest,,"Phoebe petelotii (Lauraceae), Machilus thunbergii, Claoxylon indicum (Euphorbiaceae)",
298-VN450-N-Vietnam,"Ba-Vi National Park, site 19",Northern ,Vietnam,VNM,Forest,,Castanopsis chinensis,
299-DCE25-W-Australia,,Western,Australia,AUS,,,,
29-S214R2-Portugal,"Mealhada, Aveiro",,Portugal,PORT,Forest,Soil,Phillyrea latifolia,A2
300-DDS3477-W-Australia,,Western,Australia,AUS,,,,
301-DDS3646-W-Australia,,Western,Australia,AUS,,,,
302-VHSC29279-W-Australia,,Western,Australia,AUS,,,,
303-VHSC5439-W-Australia,,Western,Australia,AUS,,,,
304-VHSC7819-W-Australia,,Western,Australia,AUS,,,,
305-PH234-Tunisia,,,Tunisia,TUN,,,,
30-S221-S10-Portugal,"Seia, Guarda",,Portugal,PORT,Forest,Soil,Quercus rubra,A2
31-S233-S3M-Portugal,"Mealhada, Aveiro",,Portugal,PORT,Forest,Soil,Quercus robur,A2
32-S238-S1A-Portugal,"Seia, Guarda",,Portugal,PORT,Forest,Soil,Quercus robur,A2
33-S244S1B-Portugal,"Seia, Guarda",,Portugal,PORT,Forest,Soil,Castanea sativa,A2
34-S260-S11A-Portugal,"Celorico da Beira, Guarda",,Portugal,PORT,Forest,Soil,Quercus pyrenaica,A2
35-S272S3B-Portugal,"Manteigas, Guarda",,Portugal,PORT,Forest,Soil,Castanea sativa,A2
36-S280S1A-Portugal,"Manteigas, Guarda",,Portugal,PORT,Forest,Soil,Fagus sylvatica,A2
37-S284-S2C-Portugal,"Guarda, Guarda",,Portugal,PORT,Forest,Soil,Castanea sativa,A2
38-S289-R5C-Portugal,"Guarda, Guarda",,Portugal,PORT,Forest,Soil,Castanea sativa,A2
39-S89-S1-Portugal,"Terras de Bouro, Braga",,Portugal,PORT,Forest,Soil,Quercus rubra,A2
3-Caetano-37-Spain,Cádiz,,Spain,SPN,,,Quercus suber,A2
40-S91S4H-Portugal,"Terras de Bouro, Braga",,Portugal,PORT,Forest,Soil,Quercus suber,A2
41-S92S12B-Portugal,"Terras de Bouro, Braga",,Portugal,PORT,Forest,Soil,Castanea sativa,A2
43-CIF-1-Spain,Cádiz,,Spain,SPN,,,Quercus suber,A2
4-Caetano-32-Spain,Cádiz,,Spain,SPN,,,Quercus suber,A2
60-PH002-UK,,,UK,UK,woodland,soil,Quercus robur,A2
61-PH003-UK,,,UK,UK,woodland,bark,Quercus robur,A2
67-PH093-Italy,,,Italy,ITL,nursery,soil,Picea abies,A2
68-PH185-France_Rep2,,,France,FRA,Forest,soil,Quercus suber,A2
70-PH188-Italy,,,Italy,ITL,Park,soil,Quercus ilex,A2
71-PH190-Italy,,,Italy,ITL,Forest,soil,Pistacia lentiscus,A2
72-PH227-Tunisia,,,Tunisia,TUN,Forest,Soil,Quercus suber,A2
73-PH228-Tunisia,,,Tunisia,TUN,Forest,Soil,Quercus suber,A2
74-PH229-Algeria,,,Algeria,ALG,Forest,Soil,Quercus suber,A2
75-PH230-Algeria,,,Algeria,ALG,Forest,Soil,Quercus suber,A2
78-P183-Hungary,"Székesfehérvár (Bricostore), Hungary, 06.09.2007. (plant imported from the Netherlands)",,Hungary,HUN,,necrotic bark from stem base,Rhododendron,A2
79-P301-Mallorca,,,Mallorca,MAL,,,unknown,A2
80-JA132-Hungary,"Gencsapáti, Hungary",,Hungary,HUN,,,Chamaecyparis lawsoniana 'Columnaris',A2
82-CIN-9-DomRep_Rep3,Los Montones,,Dominican Republic,DOMREP,Forest,Soil,Pinus occidentalis,A2
J001-Bent-OR-USA,Benton,"Bent, OR",USA,USA,,,,
R001-Yamhill-OR-USA,,"Yamhill, OR",USA,USA,,,,
R024-Bent-OR-USA,,"Bent, OR",USA,USA,,,,
R042-Bent-OR-USA,,"Bent, OR",USA,USA,,,,
R050-Bent-OR-USA,,"Bent, OR",USA,USA,,,,
R052-Bent-OR-USA,,"Bent, OR",USA,USA,,,,
R053-Bent-OR-USA,,"Bent, OR",USA,USA,,,,
R056-Clack-OR-USA,,"Clackamas, OR",USA,USA,,,,
R073-Mult-OR-USA,,"Multnomah, OR",USA,USA,,,,
R075-Mult-OR-USA,,"Multnomah, OR",USA,USA,,,,
R076-Mult-OR-USA,,"Multnomah, OR",USA,USA,,,,
R077-Mult-OR-USA,,"Multnomah, OR",USA,USA,,,,
R142-Bent-OR-USA,,"Bent, OR",USA,USA,,,,
S-69-Clack-OR-USA,,"Clackamas, OR",USA,USA,,,,
S-71-Clack-OR-USA,,"Clackamas, OR",USA,USA,,,,
S-84-Clack-OR-USA,,"Clackamas, OR",USA,USA,,,,
S-93-Clack-OR-USA,,"Clackamas, OR",USA,USA,,,,
S-94-Clack-OR-USA,,"Clackamas, OR",USA,USA,,,,
S-95-Clack-OR-USA,,"Clackamas, OR",USA,USA,,,,
S-96-Clack-OR-USA,,"Clackamas, OR",USA,USA,,,,
200-W1733-NSWalesAus_Rep3,Hawlesbury Nepean,NSW_Aus,Australia,AUS,,,,A2
68-PH185-France_Rep3,,,France,FRA,Forest,soil,Quercus suber,A2
